    Step      Energy    Pressure     Density
             kcal/mol     psi        volume
     8925   -120.773      0.404      0.600
     8950   -121.499      0.393      0.600
     8975   -118.941      0.438      0.600
     9000   -112.550      0.541      0.600
     9025   -109.981      0.582      0.600
     9050   -120.935      0.441      0.600
     9075   -112.611      0.569      0.600
     9100   -111.018      0.610      0.600
     9125   -107.519      0.664      0.600
     9150   -109.788      0.625      0.600
     9175   -118.589      0.478      0.600
     9200   -123.799      0.381      0.600
     9225   -122.026      0.392      0.600
     9250   -121.070      0.407      0.600
     9275   -119.730      0.437      0.600
     9300   -117.957      0.476      0.600
     9325   -114.173      0.537      0.600
     9350   -110.962      0.584      0.600
     9375   -113.874      0.542      0.600
     9400   -118.736      0.473      0.600
     9425   -120.176      0.456      0.600
     9450   -115.772      0.529      0.600
     9475   -111.143      0.606      0.600
     9500   -113.256      0.581      0.600
     9525   -116.961      0.523      0.600
     9550   -117.542      0.510      0.600
     9575   -115.731      0.528      0.600
     9600   -116.467      0.507      0.600
     9625   -120.622      0.439      0.600
     9650   -119.446      0.451      0.600
     9675   -114.685      0.522      0.600
     9700   -111.146      0.577      0.600
     9725   -114.900      0.528      0.600
     9750   -109.899      0.585      0.600
     9775   -115.774      0.495      0.600
     9800   -111.424      0.543      0.600
     9825   -109.003      0.567      0.600
     9850   -112.965      0.505      0.600
     9875   -112.355      0.503      0.600
     9900   -123.171      0.359      0.600
     9925   -118.555      0.430      0.600
     9950   -114.556      0.499      0.600
     9975   -109.869      0.564      0.600
    10000   -119.412      0.423      0.600
    10025   -122.496      0.371      0.600
    10050   -111.411      0.523      0.600
    10075   -110.844      0.532      0.600
    10100   -115.119      0.469      0.600
    10125   -117.144      0.437      0.600
    10150   -116.736      0.442      0.600
    10175   -112.848      0.498      0.600
    10200   -111.987      0.509      0.600
    10225   -114.620      0.470      0.600
    10250   -113.966      0.477      0.600
    10275   -114.380      0.469      0.600
    10300   -113.498      0.479      0.600
    10325   -108.830      0.540      0.600
    10350   -115.162      0.450      0.600
    10375   -121.434      0.360      0.600
    10400   -119.105      0.396      0.600
    10425   -115.221      0.462      0.600
    10450   -115.201      0.476      0.600
    10475   -113.693      0.502      0.600
    10500   -113.481      0.502      0.600
    10525   -112.429      0.506      0.600
    10550   -121.357      0.374      0.600
    10575   -125.383      0.321      0.600
    10600   -120.535      0.401      0.600
    10625   -119.841      0.427      0.600
    10650   -114.146      0.526      0.600
    10675   -102.158      0.705      0.600
    10700   -110.875      0.589      0.600
    10725   -113.401      0.549      0.600
    10750   -110.271      0.584      0.600
    10775   -115.574      0.506      0.600
    10800   -116.972      0.485      0.600
    10825   -115.159      0.517      0.600
    10850   -112.812      0.562      0.600
    10875   -109.103      0.623      0.600
    10900   -115.862      0.538      0.600
    10925   -115.972      0.529      0.600
    10950   -114.137      0.535      0.600
    10975   -123.219      0.389      0.600
    11000   -126.077      0.349      0.600
    11025   -115.478      0.508      0.600
    11050   -113.768      0.547      0.600
    11075   -109.577      0.602      0.600
    11100   -112.654      0.546      0.600
    11125   -120.989      0.419      0.600
    11150   -120.116      0.427      0.600
    11175   -117.390      0.476      0.600
    11200   -113.232      0.544      0.600
    11225   -114.144      0.539      0.600
    11250   -115.062      0.526      0.600
    11275   -115.632      0.511      0.600
    11300   -113.040      0.528      0.600
    11325   -117.642      0.443      0.600
    11350   -123.683      0.348      0.600
    11375   -123.708      0.355      0.600
    11400   -110.946      0.545      0.600
    11425   -115.008      0.500      0.600
    11450   -112.776      0.531      0.600
    11475   -110.512      0.562      0.600
    11500   -111.992      0.532      0.600
    11525   -120.461      0.408      0.600
    11550   -123.150      0.380      0.600
    11575   -117.301      0.480      0.600
    11600   -115.028      0.533      0.600
    11625   -108.548      0.626      0.600
    11650   -117.351      0.495      0.600
    11675   -117.152      0.470      0.600
    11700   -117.018      0.454      0.600
    11725   -114.555      0.476      0.600
    11750   -118.230      0.429      0.600
    11775   -112.756      0.510      0.600
    11800   -112.989      0.509      0.600
    11825   -116.690      0.452      0.600
    11850   -115.820      0.458      0.600
    11875   -111.629      0.512      0.600
    11900   -113.192      0.480      0.600
    11925   -123.751      0.323      0.600
    11950   -125.021      0.307      0.600
    11975   -116.804      0.438      0.600
    12000   -108.836      0.562      0.600
    12025   -112.289      0.519      0.600
    12050   -114.524      0.478      0.600
    12075   -117.765      0.425      0.600
    12100   -116.551      0.441      0.600
    12125   -121.548      0.383      0.600
    12150   -118.999      0.429      0.600
    12175   -113.007      0.518      0.600
    12200   -115.626      0.478      0.600
    12225   -119.744      0.408      0.600
    12250   -122.543      0.367      0.600
    12275   -117.571      0.438      0.600
